channel_url,total_video_count,subscriber_count,total_views_count,channel_title,published_at,video_url,title,comment_count,view_count,update_time
https://www.youtube.com/channel/UCgaEHWsvt6-m6fvnGS5gGxA,541000,1854,279716871,聲林之王 Jungle Voice,UTC+8 2021-12-18 16:00:04+08:00,https://www.youtube.com/watch?v=CL74o7_YbYQ,【聲林之王3】EP3 完整版 一對一廝殺戰  邱軍鄺澤東《流浪記》撞歌PK太震撼  小宇直呼太扯!  阿蘭酷玩舞台導師瘋狂示愛  郭家瑋一開口艾怡良就買單｜庾澄慶 徐佳瑩｜Jungle Voice 3,1083,389770,UTC+8 2021-12-20 13:14:26
https://www.youtube.com/channel/UC0SkNQXPJ60hKEFubOz0fDA,763000,1979,442753659,Dinter,UTC+8 2021-12-17 12:46:49+08:00,https://www.youtube.com/watch?v=whyLn0pGGkU,【DinTer】#不忍了 劉柏園給我進來 回應遊戲橘子對我的告訴聲明  全面開戰,2571,545060,UTC+8 2021-12-20 13:14:26
https://www.youtube.com/channel/UC2TuODJhC03pLgd6MpWP0iw,1200000,130549,2124103658,三立LIVE新聞,UTC+8 2021-12-18 12:04:16+08:00,https://www.youtube.com/watch?v=LwvTHJCTKlU,台灣想要走向世界！蔡英文：這是公民意志展現 四大公投全擋下開票現場全程｜ 【直播回放】20211218| 三立新聞台,285,616657,UTC+8 2021-12-20 13:14:26
https://www.youtube.com/channel/UCLW_SzI9txZvtOFTPDswxqg,2180000,699,613155613,木曜4超玩,UTC+8 2021-12-16 15:30:12+08:00,https://www.youtube.com/watch?v=TEC-e4fHC6s,《一日系列SP》第二屆木曜跨界演唱會Awakening- EP2  feat. 9m88、ØZI、盧廣仲、老王樂隊、陳珊妮、旺福、宇宙人,1525,1015074,UTC+8 2021-12-20 13:14:26
https://www.youtube.com/channel/UC4twJx3tfIIdmnC_zsuP45Q,117000,3659,66076972,94要客訴,UTC+8 2021-12-18 11:54:13+08:00,https://www.youtube.com/watch?v=2jC7w2o9vyg,四個不同意公投過關開票全記錄！反核四+挺美豬+反三接+反公投綁大選成功！連線YAHOO!TV鄉民大會節目隔空交火！蔡英文賴蘇vs.朱立倫趙侯對戰！公投不過戰犯是王力宏【94要客訴】2021.12.08,316,457443,UTC+8 2021-12-20 13:14:26
https://www.youtube.com/channel/UC0UX_EK8-UuBi-OrkmWB6eA,307000,3868,204271503,中天娛樂頻道,UTC+8 2021-12-18 02:13:11+08:00,https://www.youtube.com/watch?v=VYNfu0dDa-Y,【撩星聞】《康熙》小本本早就爆過王力宏召妓？！  「酒店玩超兇」嚇壞小S,934,1000670,UTC+8 2021-12-20 13:14:26
https://www.youtube.com/channel/UCCQvP4hsRW9emj0meGk15jg,474000,19300,308187389,愛爾達體育家族 ELTA Sports,UTC+8 2021-12-18 10:44:37+08:00,https://www.youtube.com/watch?v=JD9FD2678AU,【2021 BWF】世錦賽 女單四強 戴資穎  VS 何冰嬌,355,291821,UTC+8 2021-12-20 13:14:26
https://www.youtube.com/channel/UC2TuODJhC03pLgd6MpWP0iw,1200000,130549,2124103658,三立LIVE新聞,UTC+8 2021-12-19 01:14:41+08:00,https://www.youtube.com/watch?v=VWtSM2oLSM4,"顏家王國面臨""瓦解""危機? 國民黨四大公投全被""翻盤"" 顏家票倉沙鹿""不同意票""恐衝擊中二選區補選! 標哥急幫兒子改""戰法""?│呂惠敏主持│【驚爆新聞線 完整版】20211218│三立新聞台",689,272788,UTC+8 2021-12-20 13:14:26
https://www.youtube.com/channel/UC8ROUUjHzEQm-ndb69CX8Ww,705000,137352,1128181673,台視新聞 TTV NEWS,UTC+8 2021-12-18 13:25:22+08:00,https://www.youtube.com/watch?v=aq6Qnr_ZvHc,【完整公開】LIVE 四大公投開票 最新進度特別報導,42,367004,UTC+8 2021-12-20 13:14:26
https://www.youtube.com/channel/UCpu3bemTQwAU8PqM4kJdoEQ,1560000,162066,1837088502,中天新聞,UTC+8 2021-12-17 23:52:02+08:00,https://www.youtube.com/watch?v=zouhhJMyb08,"爆王力宏製作花名冊紀錄召妓對象特徵 李靚蕾一看崩潰：都是身邊人｜被網影射是王力宏出軌人妻? 徐若瑄凌晨怒發聲""要提告""@中天新聞",1930,827437,UTC+8 2021-12-20 13:14:26
